ticker,as_of,close,state,weekly_state,trend,divergence,signal,confidence,entry,stop_loss,key_support,key_resistance,action_summary,key_risk,ret_5d,ret_21d,ret_63d,ret_252d
OPFI,2025-01-10,9.0054,强,强,bullish,none,buy,medium,wait,6.26,6.456,9.4556,方向看多但当前不宜新建仓，等待回踩$6.71附近黄金棒确认再入场；已持仓者观望，止损设在 6.26,价格偏离MA55达34.2%且布林带位置120%，超扩延不宜追高；风险收益比0.16<1（至压力位空间不足止损范围），不,+18.6%,+61.5%,-6.0%,+12.0%
PYPL,2025-01-10,82.9167,极弱,中性偏弱,mixed,none,hold,low,wait,74.53,76.8392,83.1455,观望不交易，等待3根K线确认；若回落至支撑76.8392下方确认破位，做空止损设在 85.64；若反弹至压力83.1455上方突破，做多止损设在 74.53,极弱状态下信号不可靠，均线混沌排列（MA233<价格<MA55）增加误导风险，DIF未充分穿越零轴调整不足；风险收益比极,+10.1%,-8.6%,-24.9%,-32.0%
EAT,2025-01-10,138.48,中性偏弱,强,bullish,none,hold,medium,wait,57.32,59.09,145.404,观望为主，多头仓位可持，等待三要素共振；止损设在 57.32,级别冲突：日线空头排列但周月线强，容易反复；黄金棒已确认但需破低验证；风险收益比极差 0.09（至近端压力 $145.4,+4.1%,+18.6%,+3.8%,+20.1%
LRN,2025-01-10,111.13,强,强,bullish,none,hold,medium,wait,62.12,64.04,116.6865,多头持仓观望，等待突破116.69压力位确认；止损设在 62.12,状态刚刚切换至强，不稳定；C类方向未定，可能震荡而非直接上行；风险收益比极差 0.11（至近端压力 $116.69 仅 ,+2.7%,+25.1%,+21.3%,-37.9%
URBN,2025-01-10,56.96,中性偏弱,强,bullish,top,hold,low,wait,39.82,41.05,59.808,等待系统恢复,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_",-3.4%,-2.5%,-17.9%,+28.4%
AGX,2025-01-10,157.8519,强,强,bullish,top,hold,medium,wait,131.62,135.692,159.2283,多头持仓观望，不建议追多；底部做空需等5分钟破MA55确认；止损设在 164.01,顶背离成熟但价格未破支撑，可能为强势整理而非反转信号；风险收益比极差 0.05（至近端压力 $159.23 仅 1.38,+11.6%,-5.1%,-6.9%,+98.7%
DXPE,2025-01-10,90.99,强,强,bullish,none,buy,medium,wait,42.3,43.61,95.5395,方向看多但当前不宜新建仓，等待回踩$71.28附近黄金棒确认再入场；已持仓者观望，止损设在 42.3,价格偏离MA55达27.7%且布林带位置124%，超扩延不宜追高；风险收益比0.09<1（至压力位空间不足止损范围），不,+12.8%,+11.7%,-13.0%,+24.7%
CLS,2025-01-10,103.64,强,强,bullish,none,buy,medium,wait,39.8,41.03,108.822,方向看多但当前不宜新建仓，等待回踩$86.30附近黄金棒确认再入场；已持仓者观望，止损设在 39.8,价格偏离MA55达20.1%且布林带位置100%，超扩延不宜追高；风险收益比0.08<1（至压力位空间不足止损范围），不,+9.3%,+22.1%,-23.6%,+217.0%
INTA,2025-01-10,67.05,中性偏弱,强,bullish,none,hold,medium,wait,42.53,43.85,70.0,多头观望，不追高；若破支撑43.85则考虑减仓；止损设在 42.53,日线空头但大级别偏多，信号矛盾；价格已离MA55+5.4%处于超涨区，反向风险大；风险收益比极差 0.12（至近端压力 ,+0.6%,+4.4%,-22.1%,-38.5%
CRDO,2025-01-10,73.8,中性偏弱,强,bullish,none,hold,medium,wait,64.47,66.46,77.25,多头观望，守支撑66.46；若下探支撑缩量未破，可小额加多；止损设在 64.47,级别冲突未化解，大级别多头但日线已死叉转弱，可能继续震荡或回调至MA55；风险收益比较差 0.37（至近端压力 $77.,+8.4%,-0.3%,-47.5%,+118.7%
