ticker,as_of,close,state,weekly_state,trend,divergence,signal,confidence,entry,stop_loss,key_support,key_resistance,action_summary,key_risk,ret_5d,ret_21d,ret_63d,ret_252d
ANF,2024-01-01,88.22,中性偏弱,强,bullish,none,hold,low,wait,31.3,32.27,92.631,持有多头仓位观望，暂不追高；死叉信号已出现，等待3根K线确认回调；止损设在 31.3,⚠️实时顶背离预警：价格超越前高但MACD柱动能缩减237.7%，见顶风险；日周月矛盾，周线调整期，轻仓操作；信号不可靠,+3.4%,+17.2%,+43.7%,+68.5%
MOD,2024-01-01,59.7,强,强,bullish,none,buy,medium,wait,37.87,39.04,62.685,方向看多但当前不宜新建仓，等待回踩$49.12附近黄金棒确认再入场；已持仓者观望，止损设在 37.87,价格偏离MA55达21.5%且布林带位置80%，超扩延不宜追高；风险收益比0.14<1（至压力位空间不足止损范围），不建,+1.1%,+18.5%,+55.9%,+93.2%
MHO,2024-01-01,137.74,强,强,bullish,none,buy,medium,wait,72.77,75.02,144.627,方向看多但当前不宜新建仓，等待回踩$102.75附近黄金棒确认再入场；已持仓者观望，止损设在 72.77,价格偏离MA55达34.1%且布林带位置85%，超扩延不宜追高；风险收益比0.11<1（至压力位空间不足止损范围），不建,-3.6%,-3.8%,-6.1%,-2.5%
GCT,2024-01-01,18.295,强,强,bullish,none,hold,medium,wait,14.21,14.65,48.01,多头持仓观望，近期避免追高；止损设在 14.21,MACD柱缩减17.0%暗示动能衰竭，可能形成头部。周线调整期风险偏高,+17.0%,+23.0%,+77.7%,-5.0%
LPG,2024-01-01,34.8821,中性偏弱,强,bullish,none,hold,low,wait,28.96,29.857,35.1843,多头观望，不建议追高；止损设在 28.96,日线死叉刚触发（0根K线），周月线强但调整未充分，可能延续震荡或小幅回调；风险收益比极差 0.05（至近端压力 $35.,+5.0%,-12.9%,-1.0%,-35.1%
RYCEY,2024-01-01,3.7347,中性偏弱,强,bullish,none,hold,medium,wait,2.26,2.3317,3.9214,观望确认突破方向，多头轻仓。若破支撑2.3317减仓；若收复压力3.9214加仓。止损设在 2.26,周线调整期与月线极强的矛盾，信号不可靠；大级别反转风险，需等待结构明确；风险收益比极差 0.13（至近端压力 $3.92,+5.1%,+2.4%,+45.1%,+96.2%
ISNPY,2024-01-01,15.535,中性偏弱,强,bullish,top,hold,low,wait,12.13,12.5051,16.3117,多头持仓者观望确认，实时顶背离预警需等回落验证；止损设在 12.13,周月线强但日线中性偏弱，大级别优先，轻仓操作；顶背离尚未确认需警惕见顶；风险收益比较差 0.23（至近端压力 $16.3,+2.7%,+4.4%,+24.9%,+46.4%
META,2024-01-01,351.2039,强,强,bullish,none,hold,medium,wait,295.32,304.4508,368.7641,多头持仓者观望，警惕见顶风险；止损设在 295.32,⚠️实时顶背离预警：MACD柱动能缩减42%，价格351.20突破前高但动能不同步，需等待3根K线确认见顶或突破上沿；风,+3.2%,+14.0%,+46.5%,+73.7%
CLS,2024-01-01,29.28,强,中性偏弱,bullish,none,hold,medium,wait,21.58,22.25,30.744,多头持仓可观望，但需轻仓应对；止损设在 21.58；警惕实时顶背离，待3根K线确认见顶信号,周线调整期重仓风险高；MACD柱缩减93.2%提示动能衰减，可能见顶；状态异常跳变（中性偏弱→强）信号不稳定；风险收益比,+1.7%,+27.8%,+74.2%,+229.2%
APP,2024-01-01,39.85,强,中性偏弱,bullish,none,buy,medium,wait,26.46,27.28,43.75,日线多头可逢低布局，止损设在 26.46,风险收益比0.29<1（至压力位空间不足止损范围），不建议新建仓；价格超扩延，等待回踩 $39.05 附近黄金棒确认再入,+0.9%,+5.6%,+87.9%,+781.3%
