month,ticker,analysis_date,close,state,weekly_state,trend,divergence,trinity_signal,confidence,trinity_buy,quant_gt_return,quant_gt_profit,verdict,action_summary,key_risk,error
2016-11,MU,2016-11-01,16.5578,中性偏弱,强,mixed,none,hold,medium,no,14.53,YES,FN,时空状态=中性偏弱 趋势排列=mixed,无Claude分析，仅供参考,
2016-11,COHR,2016-11-01,26.95,强,强,bullish,none,buy,medium,YES,8.05,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.14（至压力 $28.30,
2016-11,NVDA,2016-11-01,1.6959,强,中性偏弱,bullish,none,buy,medium,YES,28.49,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $1.60 附近黄金棒确认再入场；风险收益比极差 0.08（至压,
2016-11,LVS,2016-11-01,46.5244,中性偏弱,强,bullish,none,hold,medium,no,6.98,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.24（至近端压力 $48.85 仅 2.33 点，止损距离 9.62 ,
2016-11,ADSK,2016-11-01,70.1,中性偏弱,强,bullish,top,hold,medium,no,0.51,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；当前价$70.10距关键支撑$68.85仅1.8%，破位风险高，请设好止损,
2016-12,COHR,2016-12-01,29.3,中性偏弱,强,bullish,none,buy,low,YES,-0.83,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.12（至压力 $30.77,
2016-12,NVDA,2016-12-01,2.1557,中性偏弱,强,bullish,none,buy,low,YES,13.48,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $1.81 附近黄金棒确认再入场；风险收益比极差 0.11（至压,
2016-12,SATS,2016-12-01,,,,,,SKIP,,,-0.1,,,,,历史数据不足（<60日）
2016-12,CFG,2016-12-01,23.7378,强,强,bullish,none,buy,medium,YES,7.59,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $18.69 附近黄金棒确认再入场；风险收益比极差 0.17（至,
2016-12,NFLX,2016-12-01,11.722,中性偏弱,强,bullish,none,hold,medium,no,6.38,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.45（至近端压力 $12.75 仅 1.03 点，止损距离 2.28 ,
2017-01,NVDA,2017-01-03,2.5091,中性偏弱,强,bullish,none,buy,low,YES,5.75,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $2.13 附近黄金棒确认再入场；风险收益比极差 0.11（至压,
2017-01,KEY,2017-01-03,12.1922,中性偏弱,强,bullish,none,hold,medium,no,-1.73,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.14（至近端压力 $12.80 仅 0.61 点，止损距离 4.21 ,
2017-01,CFG,2017-01-03,24.7596,中性偏弱,强,bullish,none,hold,medium,no,0.27,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.13（至近端压力 $26.00 仅 1.24 点，止损距离 9.70 ,
2017-01,COHR,2017-01-03,29.5,中性偏弱,强,bullish,top,hold,medium,no,1.64,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；当前价$29.50距关键支撑$28.90仅2.0%，破位风险高，请设好止损,
2017-01,GS,2017-01-03,198.0115,中性偏弱,强,bullish,none,hold,medium,no,-5.02,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.17（至近端压力 $207.91 仅 9.90 点，止损距离 59.4,
2017-02,NVDA,2017-02-01,2.8028,强,强,bullish,none,buy,medium,YES,-6.16,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $2.46 附近黄金棒确认再入场；风险收益比极差 0.21（至压,
2017-02,AMD,2017-02-01,12.06,强,强,bullish,none,buy,medium,YES,38.35,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $10.08 附近黄金棒确认再入场；风险收益比极差 0.00（至,
2017-02,CFG,2017-02-01,25.2915,中性偏弱,强,bullish,top,hold,medium,no,5.15,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考,
2017-02,KEY,2017-02-01,12.0453,中性偏弱,强,bullish,none,buy,low,YES,5.0,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.13（至压力 $12.56,
2017-02,BAC,2017-02-01,18.4719,中性偏弱,强,bullish,none,hold,medium,no,10.45,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.03（至近端压力 $18.68 仅 0.21 点，止损距离 6.02 ,
2017-03,AMD,2017-03-01,14.96,强,强,bullish,none,buy,medium,YES,-3.18,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $11.85 附近黄,
2017-03,NVDA,2017-03-01,2.5315,极弱,中性偏弱,mixed,top,hold,low,no,5.02,YES,FN,时空状态=极弱 趋势排列=mixed,无Claude分析，仅供参考；黄金棒（$2.64）在当前价$2.53上方4.2%，价格已跌穿黄金棒信号区，多头支撑信号已,
2017-03,BAC,2017-03-01,20.6409,强,强,bullish,none,buy,medium,YES,-6.78,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $18.68 附近黄,
2017-03,COHR,2017-03-01,36.4,中性偏弱,强,bullish,none,buy,low,YES,-0.14,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $33.68 附近黄金棒确认再入场；风险收益比 0.45（近端压,
2017-03,CFG,2017-03-01,27.4402,强,中性偏弱,bullish,top,buy,medium,YES,-9.84,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $25.12 附近黄金棒确认再入场；风险收益比 0.30（近端压,
2017-04,AMD,2017-04-03,14.64,强,强,bullish,none,buy,medium,YES,-8.01,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $12.93 附近黄金棒确认再入场；风险收益比极差 0.11（至,
2017-04,INCY,2017-04-03,138.52,中性偏弱,强,bullish,none,hold,medium,no,-7.57,no,TN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.24（至近端压力 $152.66 仅 14.14 点，止损距离 57.,
2017-04,ANET,2017-04-03,8.2312,中性偏弱,强,bullish,none,buy,low,YES,5.95,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $7.02 附近黄金,
2017-04,MU,2017-04-03,27.9279,强,强,bullish,none,buy,medium,YES,-3.8,no,FP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $24.18 附近黄,
2017-04,TSLA,2017-04-03,19.9013,强,强,bullish,none,buy,medium,YES,9.72,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $17.23 附近黄金棒确认再入场；风险收益比极差 0.24（至,
2017-05,ANET,2017-05-01,8.8188,强,强,bullish,none,buy,medium,YES,5.73,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $7.92 附近黄金棒确认再入场；风险收益比极差 0.13（至压,
2017-05,AMD,2017-05-01,13.62,中性偏强,中性偏弱,mixed,none,hold,medium,no,-16.23,no,TN,时空状态=中性偏强 趋势排列=mixed,无Claude分析，仅供参考；风险收益比较差 0.38（至近端压力 $15.20 仅 1.58 点，止损距离 4.16 ,
2017-05,VRTX,2017-05-01,120.62,中性偏弱,强,bullish,none,hold,medium,no,4.22,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.17（至近端压力 $127.87 仅 7.25 点，止损距离 42.4,
2017-05,TSLA,2017-05-01,21.522,强,强,bullish,none,buy,medium,YES,9.24,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $18.50 附近黄,
2017-05,MU,2017-05-01,27.5866,中性偏弱,中性偏弱,bullish,none,hold,medium,no,10.41,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比极差 0.10（至近端压力 $28.97 仅 1.38 点，止损距离 14.09,
2017-06,VRTX,2017-06-01,127.16,强,强,bullish,none,buy,medium,YES,4.43,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.01（至压力 $127.8,
2017-06,ANET,2017-06-01,9.2825,中性偏弱,强,bullish,none,buy,low,YES,2.39,YES,TP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $8.63 附近黄金,
2017-06,TSLA,2017-06-01,22.6913,强,强,bullish,top,buy,medium,YES,7.63,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；重度超扩延，建议等待回踩 $20.05 附近黄金棒确认再入场；风险收益比 0.37（近端压,
2017-06,LRCX,2017-06-01,13.8197,中性偏弱,强,bullish,none,buy,low,YES,-8.11,no,FP,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；重度超扩延，建议等待回踩 $12.34 附近黄,
2017-06,ISRG,2017-06-01,102.12,强,强,bullish,none,buy,medium,YES,2.82,YES,TP,时空状态=强 趋势排列=bullish,无Claude分析，仅供参考；实时顶背离预警：新高动能不足，注意见顶风险；风险收益比极差 0.14（至压力 $107.2,
2017-07,NVDA,2017-07-03,3.435,中性偏弱,强,bullish,top,hold,medium,no,11.57,YES,FN,时空状态=中性偏弱 趋势排列=bullish,无Claude分析，仅供参考；风险收益比较差 0.44（至近端压力 $3.94 仅 0.51 点，止损距离 1.16 点,
