ticker,as_of,close,state,weekly_state,trend,divergence,signal,confidence,entry,stop_loss,key_support,key_resistance,action_summary,key_risk,ret_5d,ret_21d,ret_63d,ret_252d,error
ASC,2023-01-06,11.6983,极弱,中性偏弱,mixed,top,hold,low,wait,2.58,2.6645,13.5339,观望为主，多头仓位止损设在 2.58；若跌破MA55（11.90）确认弱势加速，可考虑止损；不建议新增空头,月线强势对抗日线极弱，周线中性偏弱属调整期，反弹风险存在；极弱3根K线不可靠，需等待确认；风险收益比较差 0.20（至近,+1.9%,+18.1%,+7.1%,+16.8%,
VLO,2023-01-06,115.6182,中性偏强,中性偏弱,bullish,top,hold,medium,wait,87.22,89.9224,128.6883,多头持仓观望，不追高；轻仓做多者，止损设在 87.22；周线调整期需待确认突破,顶背离成熟且价格在压力附近（128.69），周线中性偏弱属调整期非趋势反转，回踩风险大；风险收益比较差 0.46（至近端,+6.7%,+5.5%,+6.7%,+3.0%,
ENGIY,2023-01-06,10.6165,弱,强,mixed,none,hold,medium,wait,8.85,9.1273,11.7219,空头观望，多头减仓；日线破支撑9.1273时可考虑跟空，止损设在 8.85；周线调整期需轻仓操作,硬级别冲突：周月线强态可能形成反弹，止损容易被击穿；调整充分但无当前底背离确认，反弹信号未成型,+4.6%,-0.5%,+18.6%,+43.2%,
PDD,2023-01-06,95.96,强,强,bullish,none,hold,medium,wait,72.45,74.69,107.74,多头持仓观望，暂不追高。若回落破支撑74.69则平多；止损设在 72.45,⚠️ 实时顶背离预警：价格$95.96已超前高$72.19但MACD柱动能剧烈缩减，见顶风险需等待回落确认。状态刚跳变，,+1.1%,-1.6%,-25.7%,+56.8%,
MNSO,2023-01-06,11.6866,中性偏弱,强,bullish,none,hold,medium,wait,10.83,11.1673,15.4367,多头观望，黄金棒已确认支撑有效；止损设在 10.83；等待周线信号转化日线或C类破局,周线强但日线中性偏弱，若跌破11.1673支撑则周线也可能转弱；硬冲突下做多风险较大,+15.1%,+27.7%,+35.0%,+78.7%,
MOD,2023-01-06,21.35,强,强,bullish,bottom,hold,medium,wait,19.09,19.68,21.39,多头观望，价格需突破压力21.39且脱离>3%才可视为有效突破；止损设在 19.09,时空状态刚切换不稳定，状态异常标记active；B类震荡中下跌信号会误导；风险收益比极差 0.02（至近端压力 $21.,+8.7%,+8.7%,-2.7%,+184.8%,
JXN,2023-01-06,30.6572,中性偏强,强,bullish,none,hold,medium,wait,25.66,26.4536,32.3312,多头持仓观望，等待站上32.3312确认新一轮上行；止损设在25.66,仅1根K线处于中性偏强状态，时空不够稳定；次高点(32.3312)未突破前高(32.6289)，存在回撤风险；风险收益比,+1.2%,+30.6%,+3.9%,+49.0%,
VRNA,,,,,,,,,,,,,,,,,,,历史数据不足（<60日）
HDSN,2023-01-06,10.28,弱,中性偏弱,bullish,top,hold,medium,wait,6.97,7.19,10.66,多头观望为主，不追空；如确认破支撑7.19止损设在6.97；日线破MA55(10.21)需减仓,硬冲突期间日线信号不可靠，月线强势可能托底反弹；顶背离成熟但日线处弱态，威力受限；风险收益比极差 0.11（至近端压力 ,+6.8%,+7.9%,-21.2%,+26.1%,
SMCI,2023-01-06,8.439,极弱,强,bullish,none,hold,low,wait,5.08,5.242,9.387,观望确认。多头持仓者轻仓，严格止损设在 5.08；空头仓位建议减仓，不追空,日线极弱但周月线强，可能蓄势整理后向上突破；均线多头排列未反转迹象，极弱可能只是调整；风险收益比较差 0.28（至近端压,-4.5%,-2.9%,+26.3%,+307.3%,
